WigleWifi-1.4,appRelease=2.42,model=Freifunk,release=8.1.0,device=dummy,display=OPM8.190305.001-myself5@M5TR,board=MSM8974,brand=Freifunk
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
0a:55:71:d3:df:00,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.8028446,7.20501959,0,0,WIFI
b2:b3:5a:1c:f2:e0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.76626122,7.17530072,0,0,WIFI
8e:58:3d:ac:73:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.64765091,7.01494217,0,0,WIFI
ca:ad:00:c9:7d:c0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79382563,7.20693201,0,0,WIFI
1e:05:87:4a:2f:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79833873,7.21649677,0,0,WIFI
1a:6c:44:cf:d1:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62082575,7.02262133,0,0,WIFI
f6:7f:21:0c:9b:f0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79278,7.2082,0,0,WIFI
72:cb:3a:02:3f:a8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80825007,7.19438463,0,0,WIFI
ee:fd:81:9c:1d:40,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.7781892,7.07716405,0,0,WIFI
12:b0:1e:3c:81:38,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81527335,7.15565085,0,0,WIFI
d6:8f:23:19:ce:d0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.802571,7.204293,0,0,WIFI
ae:f7:cd:bd:c5:e8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.757624,7.173285,0,0,WIFI
0e:b0:8b:2f:9e:60,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79123829,7.2054112,0,0,WIFI
5a:ac:e1:09:e3:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.802597,7.131248,0,0,WIFI
96:c3:29:d9:40:50,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79171,7.16598,0,0,WIFI
ee:04:97:43:05:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.642717,6.964345,0,0,WIFI
a2:55:9b:4c:be:50,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.77531,7.71983,0,0,WIFI
0a:30:75:1f:ba:f8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.840569,7.212508,0,0,WIFI
b6:52:81:bc:5d:00,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.61996126,6.96415186,0,0,WIFI
2a:e2:30:b8:ab:58,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62096529,6.96153134,0,0,WIFI
c6:71:36:c3:13:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.813367,7.175139,0,0,WIFI
e6:a2:9d:ba:b3:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80211,7.11549,0,0,WIFI
d2:56:d6:7f:3e:30,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.84219406,7.2145468,0,0,WIFI
2e:52:6c:e3:ad:e8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81395656,7.15708315,0,0,WIFI
7e:a2:d2:d0:5b:88,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62561983,6.94128871,0,0,WIFI
ca:4c:1a:41:76:00,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.95347966,6.63553566,0,0,WIFI
ee:55:6e:0b:a4:a0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.85252112,7.29895592,0,0,WIFI
7a:3c:eb:99:e3:d0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.705186,7.020792,0,0,WIFI
6e:14:81:eb:5f:a8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.853521,7.248071,0,0,WIFI
6e:b9:7c:ed:6e:d0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.705224,7.020909,0,0,WIFI
7a:7d:a9:e4:38:60,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.8626766,7.21256733,0,0,WIFI
a2:c2:96:70:c8:c0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79412,7.20906,0,0,WIFI
1e:cb:61:eb:aa:f8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81555297,7.14109182,0,0,WIFI
2a:72:fb:67:f9:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80216146,7.13101476,0,0,WIFI
0e:e9:27:59:55:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.802756,7.204739,0,0,WIFI
